word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank
princes,1421,6.44,1.5928,,4923.0,,
professional,1422,6.44,1.1634,2578.0,1337.0,1324.0,
revival,1423,6.44,1.0333,,,4462.0,
rice,1424,6.44,1.6801,1995.0,3092.0,2805.0,4899.0
rides,1425,6.44,1.3426,,,,2777.0
satisfactory,1426,6.44,1.6056,,3116.0,,
scientific,1427,6.44,1.5274,,1148.0,2710.0,
scoring,1428,6.44,1.248,,,3856.0,
sis,1429,6.44,1.3118,1488.0,,,
soccer,1430,6.44,1.5407,2097.0,,1551.0,
supermarkets,1431,6.44,1.445,,,,
support,1432,6.44,1.4309,618.0,413.0,421.0,3499.0
teachers,1433,6.44,1.2961,3159.0,1156.0,1739.0,4965.0
teaching,1434,6.44,1.198,2569.0,1164.0,2537.0,
wage,1435,6.44,1.2961,,2794.0,4324.0,
whale,1436,6.44,1.567,4722.0,,,
wink,1437,6.44,1.1457,3647.0,,,4802.0
wit,1438,6.44,1.514,225.0,,3363.0,382.0
accept,1439,6.42,1.0708,2811.0,1442.0,1734.0,2327.0
assist,1440,6.42,1.295,,3512.0,,
band,1441,6.42,1.553,666.0,2157.0,1348.0,931.0
chat,1442,6.42,1.1796,490.0,,,4491.0
composer,1443,6.42,1.401,,,3031.0,
contribution,1444,6.42,1.4859,,2455.0,3231.0,
cousin,1445,6.42,1.1265,1994.0,4934.0,3491.0,3368.0
curves,1446,6.42,1.2304,,3814.0,,
dates,1447,6.42,1.295,3352.0,4130.0,4083.0,
delivered,1448,6.42,1.1968,4050.0,2496.0,3600.0,
environmental,1449,6.42,1.401,,1705.0,1121.0,
evening,1450,6.42,1.2137,812.0,1204.0,954.0,1257.0
feed,1451,6.42,1.1968,1470.0,3276.0,,1096.0
fest,1452,6.42,1.4441,3789.0,,,
gaming,1453,6.42,1.8745,3857.0,,,
india,1454,6.42,1.9804,1693.0,760.0,2302.0,
interests,1455,6.42,1.7738,,922.0,1748.0,
jazz,1456,6.42,1.4581,2718.0,,1218.0,4231.0
novelist,1457,6.42,1.7272,,,4112.0,
panties,1458,6.42,1.9388,,,,4582.0
partnership,1459,6.42,1.4441,,,2906.0,
party's,1460,6.42,1.6299,,,,
portrait,1461,6.42,1.3716,,3937.0,3838.0,
remember,1462,6.42,1.4859,446.0,1053.0,1457.0,252.0
residence,1463,6.42,1.2631,,3273.0,3172.0,
shore,1464,6.42,1.6174,3557.0,2791.0,2780.0,1591.0
simply,1465,6.42,1.3566,1933.0,718.0,1111.0,1840.0
stream,1466,6.42,1.4995,2523.0,2141.0,,2608.0
traveled,1467,6.42,1.3864,,,4519.0,4456.0
wine,1468,6.42,2.1198,552.0,2480.0,1321.0,825.0
wondered,1469,6.42,1.2792,,4586.0,,3491.0
farming,1470,6.42,1.5275,,4869.0,,
hats,1471,6.41,1.3216,,,,4977.0
hearted,1472,6.41,1.3832,,,,3878.0
1980s,1473,6.4,1.8952,,4695.0,,
actress,1474,6.4,1.7261,4980.0,,3051.0,
adopt,1475,6.4,1.4708,,3939.0,,
altogether,1476,6.4,1.3702,,2576.0,,
architecture,1477,6.4,1.4708,,2844.0,2316.0,
australia,1478,6.4,1.5908,2111.0,2835.0,2722.0,
baked,1479,6.4,1.8844,3967.0,,,
buying,1480,6.4,1.2936,1277.0,4972.0,1930.0,3853.0
ceremony,1481,6.4,1.5649,,4398.0,2509.0,
charity,1482,6.4,1.906,2813.0,4479.0,2407.0,
chicken,1483,6.4,1.6288,864.0,,3119.0,1776.0
chorus,1484,6.4,1.2617,,,4891.0,88.0
consciousness,1485,6.4,1.4846,,1598.0,,
cultivation,1486,6.4,1.1952,,4414.0,,
dating,1487,6.4,1.4846,2071.0,,,
deserve,1488,6.4,1.3553,1935.0,,4387.0,1541.0
destination,1489,6.4,1.4286,,,,3113.0
documentary,1490,6.4,1.178,4413.0,,3621.0,
drawings,1491,6.4,1.5119,,,4361.0,
educational,1492,6.4,1.4846,,1381.0,2427.0,
electronic,1493,6.4,1.3248,4858.0,3436.0,2333.0,
equally,1494,6.4,1.5518,,1484.0,3862.0,
europe,1495,6.4,1.7613,2965.0,761.0,848.0,
floating,1496,6.4,1.6162,,,,2085.0
futures,1497,6.4,1.4286,,,3746.0,
gain,1498,6.4,1.5386,3056.0,1627.0,478.0,2100.0
generations,1499,6.4,1.3553,,3573.0,3442.0,
gmail,1500,6.4,1.5908,3291.0,,,
hills,1501,6.4,1.4142,2969.0,2606.0,1130.0,1931.0
increasing,1502,6.4,1.2936,,1194.0,2444.0,
kidding,1503,6.4,1.3702,2061.0,,,
launch,1504,6.4,1.2936,1799.0,,,
light,1505,6.4,1.5119,645.0,310.0,928.0,184.0
mountain,1506,6.4,1.7143,1361.0,1737.0,2309.0,947.0
participate,1507,6.4,1.2617,,4028.0,3872.0,
pics,1508,6.4,1.3553,854.0,,,
playin,1509,6.4,1.807,2403.0,,,1857.0
poetry,1510,6.4,1.906,3019.0,1578.0,3412.0,3898.0
possibility,1511,6.4,1.2454,,1498.0,1960.0,
provide,1512,6.4,1.088,3169.0,574.0,817.0,4581.0
resolved,1513,6.4,1.4708,,3137.0,4762.0,
shores,1514,6.4,1.6162,,,,4567.0
studies,1515,6.4,1.3702,4385.0,443.0,1209.0,
summer,1516,6.4,2.3905,896.0,1226.0,721.0,590.0
tennis,1517,6.4,1.4142,1915.0,,1023.0,
touch,1518,6.4,1.2778,936.0,1996.0,2583.0,304.0
touched,1519,6.4,1.2289,4952.0,3682.0,2744.0,1519.0
tradition,1520,6.4,1.6162,,1343.0,2546.0,
twins,1521,6.4,1.6537,4378.0,,,
visits,1522,6.4,1.2936,,4390.0,4192.0,
wages,1523,6.4,1.3401,,2473.0,,
waves,1524,6.4,1.3997,4175.0,2731.0,,1430.0
willing,1525,6.4,1.0302,2781.0,2075.0,1699.0,1983.0
younger,1526,6.4,1.4983,3767.0,2385.0,2327.0,2963.0
exercised,1527,6.39,1.5848,,4418.0,,
enabled,1528,6.39,1.3817,,3927.0,,
greeks,1529,6.39,1.2216,,4761.0,,
purely,1530,6.39,1.4835,,3230.0,,
seeds,1531,6.39,1.4974,,4313.0,,2651.0
sixteen,1532,6.39,1.4835,,4456.0,,2744.0
softly,1533,6.39,1.525,,,,1972.0
cradle,1534,6.38,1.6091,,,,3409.0
80's,1535,6.38,1.713,,,,
americas,1536,6.38,1.0859,,,3417.0,
arose,1537,6.38,1.2103,,3735.0,,
bigger,1538,6.38,1.3981,1993.0,,3165.0,1401.0
boyfriend,1539,6.38,1.7248,1664.0,,,2385.0
breath,1540,6.38,1.5765,2334.0,2872.0,,571.0
committed,1541,6.38,1.4126,,2296.0,1999.0,
contributing,1542,6.38,1.4831,,,3004.0,
craft,1543,6.38,1.5765,4889.0,,4923.0,
designers,1544,6.38,1.4831,,,3890.0,
development,1545,6.38,1.4968,2461.0,221.0,554.0,
distinction,1546,6.38,1.2436,,1858.0,4924.0,
faster,1547,6.38,1.3536,2368.0,4631.0,3998.0,1442.0
functional,1548,6.38,1.1229,,2536.0,,
giveaway,1549,6.38,1.783,1894.0,,,
increased,1550,6.38,1.4693,,602.0,1154.0,
lamb,1551,6.38,1.2599,3841.0,,,3147.0
leader,1552,6.38,1.3384,1401.0,1717.0,645.0,3312.0
lottery,1553,6.38,2.1275,3836.0,,,
maximum,1554,6.38,1.5238,,1573.0,3461.0,
meet,1555,6.38,1.2599,521.0,886.0,938.0,484.0
neighborhood,1556,6.38,1.2919,3602.0,4180.0,526.0,2549.0
ownership,1557,6.38,1.4126,,3467.0,3178.0,
painter,1558,6.38,1.0476,,,4469.0,
played,1559,6.38,1.427,871.0,1640.0,653.0,859.0
preserve,1560,6.38,1.4968,,3657.0,3623.0,
purchased,1561,6.38,1.2271,,3916.0,3769.0,
queens,1562,6.38,1.6646,,,634.0,2843.0
reasonable,1563,6.38,0.8303,,2052.0,3590.0,
revenues,1564,6.38,1.4968,,,1955.0,
rocket,1565,6.38,1.7366,,,,3115.0
sails,1566,6.38,1.3834,,,,4322.0
saves,1567,6.38,1.5238,4963.0,,,
score,1568,6.38,1.0859,1972.0,3244.0,1870.0,2067.0
seeing,1569,6.38,1.3076,726.0,1732.0,2394.0,1275.0
silver,1570,6.38,1.9048,1977.0,1681.0,1774.0,1083.0
skills,1571,6.38,1.5504,2439.0,1929.0,3234.0,3153.0
sung,1572,6.38,1.2436,,,,2362.0
tasted,1573,6.38,1.3231,,,,4115.0
tastes,1574,6.38,1.76,3254.0,,,3992.0
thinks,1575,6.38,1.2271,904.0,3305.0,3207.0,1510.0
thought,1576,6.38,1.3384,161.0,212.0,667.0,207.0
touches,1577,6.38,1.2599,,,,4495.0
we,1578,6.38,1.3076,46.0,37.0,40.0,20.0
agricultural,1579,6.38,1.4468,,1609.0,,
belle,1580,6.37,1.537,,,,4824.0
explore,1581,6.37,1.3338,,4959.0,,
sketch,1582,6.37,1.5233,,4897.0,,
voluntary,1583,6.37,1.2365,,3795.0,,
acquire,1584,6.36,1.3211,,4255.0,3307.0,
april,1585,6.36,1.5221,1643.0,940.0,221.0,4585.0
architect,1586,6.36,1.1386,,,2896.0,
broadway,1587,6.36,1.3516,,,824.0,4552.0
calm,1588,6.36,1.6005,2470.0,3842.0,,1533.0
climbed,1589,6.36,1.3962,,,,3962.0
colleagues,1590,6.36,1.5748,,3669.0,2035.0,
curious,1591,6.36,1.2739,1519.0,3085.0,,4209.0
definite,1592,6.36,1.4675,,2639.0,,
democracy,1593,6.36,1.7233,,2114.0,2042.0,
deposit,1594,6.36,1.4813,,4898.0,,
developed,1595,6.36,1.4813,,663.0,1839.0,
distinguished,1596,6.36,1.4251,,2010.0,2565.0,
dressed,1597,6.36,1.1205,2406.0,3534.0,,1390.0
drink,1598,6.36,1.77,628.0,2412.0,3982.0,568.0
employment,1599,6.36,1.7815,4164.0,1303.0,3103.0,
farms,1600,6.36,1.5086,,4581.0,4958.0,
fashion,1601,6.36,1.8043,1415.0,2329.0,1307.0,2494.0
gravy,1602,6.36,1.7815,,,,4880.0
guiding,1603,6.36,1.1021,,,,4235.0
imagined,1604,6.36,1.495,,4640.0,,
innocent,1605,6.36,1.3815,3507.0,3924.0,4550.0,1708.0
instantly,1606,6.36,1.0645,4920.0,,,
interest,1607,6.36,1.5354,1428.0,330.0,455.0,
justified,1608,6.36,1.2081,,3647.0,,
logical,1609,6.36,1.3962,,2752.0,,
mail,1610,6.36,1.6874,718.0,2820.0,2109.0,3018.0
maintained,1611,6.36,1.4394,,1948.0,3927.0,
mario,1612,6.36,1.4394,3222.0,,3687.0,
mobile,1613,6.36,1.2081,1185.0,4989.0,4832.0,
mp3,1614,6.36,1.5086,,,,
obtained,1615,6.36,1.2081,,720.0,3433.0,
original,1616,6.36,1.4394,1539.0,685.0,1168.0,2667.0
patience,1617,6.36,1.663,4174.0,4943.0,,2731.0
performed,1618,6.36,1.4675,,1524.0,1601.0,
please,1619,6.36,1.6753,184.0,1959.0,2122.0,203.0
prayed,1620,6.36,1.663,,,,3164.0
rain,1621,6.36,1.9141,335.0,2469.0,2758.0,299.0
rational,1622,6.36,1.4107,,2807.0,,
relation,1623,6.36,1.1563,,826.0,,
rings,1624,6.36,1.6995,4161.0,,,1544.0
rise,1625,6.36,1.5618,2048.0,965.0,1405.0,646.0
rudolph,1626,6.36,1.6132,,,4020.0,
teacher,1627,6.36,1.5354,930.0,1248.0,1158.0,2635.0
technologies,1628,6.36,1.6874,,,3637.0,
value,1629,6.36,1.2415,1906.0,281.0,1056.0,
vegas,1630,6.36,1.793,1300.0,,3817.0,3535.0
volunteer,1631,6.36,1.3815,,,2913.0,
wifi,1632,6.36,1.5221,2863.0,,,
revealed,1633,6.35,1.5087,,2317.0,,4954.0
branches,1634,6.35,1.1998,,2387.0,,
existed,1635,6.35,1.4369,,2837.0,,
spotlight,1636,6.35,1.3401,,,,4604.0
bread,1637,6.34,1.7567,1777.0,2723.0,,1770.0
castle,1638,6.34,1.7096,4130.0,3066.0,4827.0,3177.0
cheddar,1639,6.34,1.7096,,,,4993.0
clouds,1640,6.34,1.9755,2436.0,4009.0,,915.0
clubs,1641,6.34,1.4654,,,3111.0,3324.0
colleges,1642,6.34,1.2715,,4147.0,3040.0,
completely,1643,6.34,1.3032,1353.0,1172.0,2745.0,2314.0
connected,1644,6.34,0.9817,4591.0,1523.0,4893.0,4513.0
december,1645,6.34,1.8473,1586.0,1137.0,497.0,2998.0
dew,1646,6.34,1.4086,,,,4100.0
employ,1647,6.34,1.423,,4036.0,,
exists,1648,6.34,1.3494,,2031.0,,
expedition,1649,6.34,1.2224,,3367.0,,
experience,1650,6.34,1.2056,1151.0,392.0,1094.0,3387.0
farmers,1651,6.34,1.1886,,2556.0,3374.0,
firefox,1652,6.34,1.2715,3523.0,,,
football,1653,6.34,2.0062,813.0,,277.0,4789.0
grant,1654,6.34,1.7215,3878.0,1849.0,1901.0,4689.0
hiring,1655,6.34,1.8026,3904.0,,4354.0,
hollywood,1656,6.34,1.7215,2138.0,,2089.0,1870.0
house,1657,6.34,1.6239,125.0,196.0,163.0,387.0
illustrated,1658,6.34,1.0806,,2407.0,4090.0,
images,1659,6.34,1.2224,3031.0,1962.0,2224.0,4193.0
jeans,1660,6.34,1.891,2268.0,,,1871.0
largest,1661,6.34,1.3793,3840.0,2238.0,1029.0,
linguistic,1662,6.34,1.394,,3951.0,,
lord,1663,6.34,1.8251,1070.0,431.0,3497.0,344.0
purchase,1664,6.34,1.0224,2513.0,2404.0,1899.0,
received,1665,6.34,1.1537,2423.0,527.0,372.0,
released,1666,6.34,1.5201,2072.0,3406.0,836.0,4140.0
saint,1667,6.34,1.8026,3041.0,2777.0,3301.0,2505.0
scientists,1668,6.34,1.4654,,3591.0,2021.0,
september,1669,6.34,1.4086,3572.0,1117.0,523.0,4055.0
soon,1670,6.34,0.8947,300.0,446.0,898.0,432.0
soul,1671,6.34,1.6734,1227.0,990.0,3275.0,218.0
soundtrack,1672,6.34,1.7096,3046.0,,,
studio,1673,6.34,1.3644,1312.0,,2374.0,3494.0
tickets,1674,6.34,1.2554,956.0,,869.0,
wave,1675,6.34,1.1537,2146.0,1854.0,3385.0,1226.0
continuity,1676,6.33,1.6252,,4946.0,,
equilibrium,1677,6.33,1.5192,,2800.0,,
activity,1678,6.32,0.9988,2912.0,591.0,2581.0,
agreement,1679,6.32,1.2196,3913.0,1126.0,696.0,
amor,1680,6.32,1.6591,4019.0,,,538.0
arrival,1681,6.32,1.0774,,2717.0,4727.0,
arrive,1682,6.32,0.8437,3520.0,3952.0,4726.0,3425.0
asian,1683,6.32,1.4907,2389.0,3623.0,2952.0,
bbq,1684,6.32,1.5576,2885.0,,,
bedtime,1685,6.32,1.5964,4220.0,,,
berry,1686,6.32,1.3768,3971.0,,,
brunch,1687,6.32,1.2848,4322.0,,,
commitment,1688,6.32,1.4348,,3319.0,1873.0,
date,1689,6.32,1.6092,897.0,908.0,952.0,1765.0
deal,1690,6.32,1.0774,707.0,880.0,510.0,839.0
democratic,1691,6.32,1.6591,,1643.0,658.0,
design,1692,6.32,1.1328,879.0,709.0,843.0,3395.0
designer,1693,6.32,1.6343,3048.0,,1513.0,
devotion,1694,6.32,2.0941,,4576.0,4292.0,3212.0
experiences,1695,6.32,1.0774,,1779.0,4900.0,
fly,1696,6.32,1.3005,1254.0,3256.0,2922.0,310.0
foxy,1697,6.32,1.9424,,,,4805.0
france,1698,6.32,1.3768,2829.0,683.0,1102.0,4763.0
handy,1699,6.32,1.1683,4953.0,,,
importance,1700,6.32,1.1328,,708.0,3392.0,
important,1701,6.32,1.3316,1030.0,201.0,513.0,2781.0
jamaica,1702,6.32,1.7076,,,3760.0,
jobs,1703,6.32,1.7431,1008.0,2642.0,970.0,
june,1704,6.32,1.3915,3262.0,810.0,204.0,3434.0
kin,1705,6.32,1.5043,,,,4482.0
lights,1706,6.32,1.4061,1355.0,3627.0,3804.0,523.0
mornings,1707,6.32,2.2264,4346.0,,,
newspaper,1708,6.32,1.3468,4441.0,2787.0,1335.0,
offering,1709,6.32,1.6468,3260.0,3369.0,1150.0,
organic,1710,6.32,1.6343,2906.0,2525.0,,
parade,1711,6.32,1.9319,3027.0,,3422.0,2965.0
pink,1712,6.32,1.2027,1196.0,,,1988.0
published,1713,6.32,1.3161,3187.0,714.0,732.0,
reader,1714,6.32,1.1856,3100.0,1636.0,3059.0,
remembered,1715,6.32,1.7893,3383.0,2504.0,1434.0,4676.0
resolve,1716,6.32,1.1683,,,3741.0,
ring,1717,6.32,1.6835,1574.0,2262.0,3633.0,680.0
rofl,1718,6.32,1.8344,3499.0,,,
selected,1719,6.32,1.1683,,1557.0,3089.0,
snow,1720,6.32,2.1801,189.0,2567.0,3156.0,894.0
streams,1721,6.32,1.5312,,4738.0,,
sufficient,1722,6.32,1.2526,,1052.0,,
sufficiently,1723,6.32,1.2196,,2568.0,,
sure,1724,6.32,1.4907,216.0,715.0,823.0,322.0
universal,1725,6.32,1.4907,4122.0,1710.0,3657.0,4987.0
unlocked,1726,6.32,1.3768,4743.0,,,
visitors,1727,6.32,1.6956,,4515.0,2383.0,
waters,1728,6.32,1.1507,,2324.0,4203.0,2251.0
women's,1729,6.32,1.4348,,2048.0,,
worship,1730,6.32,1.4769,3591.0,2506.0,,2986.0
writers,1731,6.32,1.2688,4148.0,1694.0,1769.0,
assembled,1732,6.31,1.3862,,4532.0,,
chickens,1733,6.31,1.4166,,,,4983.0
wheat,1734,6.31,1.3862,,3532.0,,
connections,1735,6.31,1.2111,,3650.0,,
scent,1736,6.31,1.2451,,,,3852.0
volumes,1737,6.31,1.2943,,3189.0,,
whistle,1738,6.31,1.4024,,,,2409.0
absolutely,1739,6.3,1.4178,1275.0,2691.0,3594.0,4543.0
atmosphere,1740,6.3,1.1995,,2438.0,3706.0,4119.0
belongs,1741,6.3,1.1473,,3716.0,,2456.0
bought,1742,6.3,1.233,648.0,2805.0,1402.0,1107.0
chess,1743,6.3,1.5682,,,3859.0,
christian,1744,6.3,1.6444,2110.0,734.0,1140.0,4121.0
clear,1745,6.3,1.1294,1421.0,470.0,766.0,589.0
clearer,1746,6.3,1.5419,,,,4715.0
commonwealth,1747,6.3,1.3132,,4562.0,,
conversations,1748,6.3,1.0546,4846.0,,,
designed,1749,6.3,0.953,3803.0,1433.0,1481.0,
downloaded,1750,6.3,1.4604,3274.0,,,
earrings,1751,6.3,1.5682,4732.0,,,
engineer,1752,6.3,1.1824,4368.0,4357.0,2947.0,
epic,1753,6.3,1.1824,1632.0,,,
exercise,1754,6.3,1.6444,1656.0,1225.0,3036.0,
expansion,1755,6.3,1.488,,2117.0,2902.0,
feeding,1756,6.3,1.3132,4867.0,3831.0,,3440.0
flowing,1757,6.3,1.374,,,,2514.0
headphones,1758,6.3,1.1824,4344.0,,,
indians,1759,6.3,1.6933,,1517.0,4263.0,
joined,1760,6.3,1.0926,613.0,1965.0,1304.0,
lipstick,1761,6.3,1.5286,,,,4359.0
metropolitan,1762,6.3,1.6812,,,1292.0,
mine,1763,6.3,1.359,582.0,1774.0,4156.0,205.0
myself,1764,6.3,1.669,372.0,833.0,2250.0,228.0
paint,1765,6.3,1.0738,1551.0,4312.0,3428.0,1379.0
painted,1766,6.3,0.9949,,3358.0,4077.0,2131.0
plane,1767,6.3,1.632,964.0,1891.0,2115.0,1834.0
produced,1768,6.3,1.1995,,690.0,1006.0,
protecting,1769,6.3,1.6067,,,4806.0,
reasoning,1770,6.3,1.2495,,3510.0,,
relations,1771,6.3,1.6067,,662.0,1078.0,
salvation,1772,6.3,1.9193,,3721.0,,2450.0
sciences,1773,6.3,1.3286,,2371.0,3709.0,
sense,1774,6.3,1.0351,1120.0,344.0,705.0,827.0
software,1775,6.3,1.4321,1347.0,2952.0,1605.0,
suite,1776,6.3,1.5017,3890.0,,3289.0,
surplus,1777,6.3,1.4178,,4588.0,4639.0,
swing,1778,6.3,1.2657,3597.0,,4567.0,1097.0
visited,1779,6.3,1.4178,,2756.0,3339.0,
cheeks,1780,6.29,1.5293,,,,4453.0
observation,1781,6.29,1.3202,,1977.0,,
calcium,1782,6.29,1.3844,,3711.0,,
conceived,1783,6.29,1.6202,,3776.0,,
rum,1784,6.29,2.0917,,,,2842.0
amigo,1785,6.28,1.8956,,,,4064.0
babes,1786,6.28,1.7501,4819.0,,,
begin,1787,6.28,1.1256,1813.0,1249.0,866.0,874.0
breathe,1788,6.28,1.5258,2986.0,,,610.0
bridegroom's,1789,6.28,1.6418,,,,
buy,1790,6.28,1.3559,366.0,2165.0,779.0,652.0
community,1791,6.28,1.3856,1403.0,464.0,380.0,
cooler,1792,6.28,1.3099,4671.0,,,
country,1793,6.28,1.7148,901.0,223.0,313.0,870.0
disco,1794,6.28,1.7148,3608.0,,,1944.0
emerging,1795,6.28,0.9697,,,4805.0,
england,1796,6.28,1.5258,2133.0,462.0,1316.0,4464.0
experts,1797,6.28,1.4434,4832.0,4449.0,1415.0,
fairly,1798,6.28,1.1613,,2138.0,4064.0,
fix,1799,6.28,1.5258,1244.0,,4935.0,1525.0
founded,1800,6.28,1.2461,,2221.0,2163.0,
globe,1801,6.28,1.4291,4321.0,,,
honorary,1802,6.28,1.4988,,,4310.0,
hoped,1803,6.28,1.1073,,2899.0,2258.0,4037.0
introduced,1804,6.28,1.3559,,1328.0,2421.0,
lead,1805,6.28,1.4574,1406.0,757.0,528.0,631.0
listening,1806,6.28,1.4434,312.0,3753.0,4718.0,1460.0
lots,1807,6.28,1.4291,567.0,,3263.0,1673.0
market,1808,6.28,1.6041,546.0,566.0,233.0,4460.0
monkey,1809,6.28,1.7148,3140.0,,,1777.0
olympic,1810,6.28,1.5654,2775.0,,2200.0,
pioneer,1811,6.28,1.5258,,,4638.0,
plaza,1812,6.28,1.0309,,,1948.0,
professionals,1813,6.28,1.4003,,,4451.0,
reflect,1814,6.28,1.0887,,2751.0,908.0,
remembering,1815,6.28,1.2623,4962.0,,,3610.0
reputation,1816,6.28,1.3708,,3144.0,3138.0,3988.0
sentimental,1817,6.28,1.6665,,,,4030.0
skype,1818,6.28,1.4574,2897.0,,,
students,1819,6.28,1.8299,1534.0,552.0,425.0,
sweden,1820,6.28,1.5124,,,4145.0,
technological,1821,6.28,1.4003,,4047.0,,
themes,1822,6.28,1.2461,,4625.0,,
thinking,1823,6.28,1.2943,406.0,955.0,1622.0,451.0
tips,1824,6.28,1.5784,979.0,,,4092.0
vehicles,1825,6.28,1.4988,,,2801.0,
village,1826,6.28,1.1256,2073.0,1109.0,785.0,4738.0
virginia,1827,6.28,1.4291,3943.0,2099.0,1151.0,
website,1828,6.28,1.1613,737.0,,,
white,1829,6.28,1.5391,290.0,312.0,263.0,411.0
wines,1830,6.28,2.3737,,,3316.0,
reasonably,1831,6.27,1.3643,,4852.0,,
uptown,1832,6.27,1.1982,,,,2673.0
aims,1833,6.27,1.2209,,4235.0,,
observe,1834,6.27,1.3659,,2684.0,,
regards,1835,6.27,1.335,,3929.0,,
allows,1836,6.26,1.192,4657.0,2440.0,3048.0,
appropriate,1837,6.26,1.2423,,1099.0,2819.0,
australian,1838,6.26,1.2257,3514.0,4016.0,4205.0,
blackberry,1839,6.26,1.6389,1553.0,,,
breathing,1840,6.26,1.2257,4699.0,4554.0,,1461.0
camp,1841,6.26,1.5361,2118.0,1702.0,1747.0,4229.0
cars,1842,6.26,1.688,1684.0,3500.0,1241.0,1088.0
considerable,1843,6.26,1.0264,,971.0,4222.0,
costume,1844,6.26,1.7591,3896.0,,,
degree,1845,6.26,1.5884,3369.0,679.0,810.0,3769.0
develop,1846,6.26,1.0461,,1236.0,1967.0,
egypt,1847,6.26,1.1572,,2570.0,4464.0,
events,1848,6.26,1.4682,1947.0,832.0,1219.0,
flag,1849,6.26,1.3063,2806.0,4250.0,4275.0,2446.0
gave,1850,6.26,1.2906,715.0,465.0,597.0,427.0
gods,1851,6.26,1.9146,3795.0,2557.0,,1746.0
gr8,1852,6.26,1.7591,,,,
hotels,1853,6.26,1.482,2915.0,,3076.0,
human,1854,6.26,1.6389,1207.0,218.0,602.0,889.0
indian,1855,6.26,1.7706,1951.0,775.0,1724.0,3191.0
leap,1856,6.26,1.2906,,,,4344.0
lifetime,1857,6.26,1.6264,3702.0,,3898.0,1539.0
magnetic,1858,6.26,1.2906,,2898.0,,
mirror,1859,6.26,1.1031,3207.0,3768.0,4750.0,988.0
mmmm,1860,6.26,1.5624,2537.0,,,3538.0
occasion,1861,6.26,1.1747,,1525.0,4888.0,
produce,1862,6.26,1.1214,4838.0,834.0,1828.0,
prominent,1863,6.26,1.1031,,2748.0,2829.0,
promises,1864,6.26,1.5493,,4910.0,4086.0,1456.0
proved,1865,6.26,1.9358,,1465.0,3140.0,
raising,1866,6.26,1.2257,4555.0,3241.0,2432.0,4972.0
school,1867,6.26,1.8824,232.0,227.0,112.0,685.0
shirt,1868,6.26,1.3372,1367.0,,,2022.0
spark,1869,6.26,1.6637,,,,2026.0
surely,1870,6.26,1.2586,3392.0,2401.0,3169.0,1645.0
team,1871,6.26,1.4259,499.0,1870.0,349.0,1631.0
travelers,1872,6.26,1.5624,,,4158.0,
upcoming,1873,6.26,1.0264,2940.0,,,
us,1874,6.26,1.7591,130.0,96.0,136.0,121.0
valley,1875,6.26,1.1572,2317.0,1674.0,1371.0,1801.0
vintage,1876,6.26,1.3372,3063.0,,,
proteins,1877,6.25,1.28,,3520.0,,
almighty,1878,6.24,2.0466,,,,4541.0
horizon,1879,6.24,1.3155,,,,2703.0
insight,1880,6.24,1.5749,,4228.0,,
ooooh,1881,6.24,1.9422,,,,2391.0
poetic,1882,6.24,1.7973,,4872.0,,
spirits,1883,6.24,1.7973,,2978.0,,2554.0
aboard,1884,6.24,1.3786,,,4353.0,4432.0
acknowledge,1885,6.24,1.318,,4711.0,3977.0,
actors,1886,6.24,1.2048,,4019.0,3109.0,
advances,1887,6.24,1.3486,,4310.0,,
aid,1888,6.24,1.3637,3129.0,1192.0,1095.0,
answer,1889,6.24,1.5722,511.0,748.0,1533.0,756.0
athletes,1890,6.24,1.3786,,,4093.0,
bowling,1891,6.24,1.5059,3180.0,,,
boy,1892,6.24,1.2867,265.0,1089.0,1711.0,194.0
built,1893,6.24,1.1877,2637.0,907.0,1179.0,1319.0
choice,1894,6.24,1.318,1182.0,1064.0,1001.0,1182.0
constitution,1895,6.24,1.3486,,1223.0,2849.0,
conversation,1896,6.24,1.4507,2064.0,2034.0,3367.0,2162.0
cowboy,1897,6.24,1.4078,,,,2036.0
day,1898,6.24,1.3637,50.0,132.0,126.0,85.0
deliver,1899,6.24,1.0214,4132.0,4435.0,3865.0,2799.0
developments,1900,6.24,1.0984,,3205.0,4848.0,
distinctive,1901,6.24,1.3024,,4867.0,,
dvds,1902,6.24,1.4507,4804.0,,,
edison,1903,6.24,1.135,,,4417.0,
eighteen,1904,6.24,1.4647,,4202.0,,4632.0
enterprise,1905,6.24,1.2382,,2513.0,4620.0,
eyes,1906,6.24,1.0984,610.0,433.0,2003.0,117.0
flying,1907,6.24,1.6483,1823.0,3680.0,3407.0,1084.0
grad,1908,6.24,1.2867,4447.0,,,
grammy,1909,6.24,1.3786,4302.0,,,
grill,1910,6.24,1.6971,3636.0,,,2772.0
halloween,1911,6.24,2.0057,2125.0,,,4762.0
holland,1912,6.24,1.3024,,4378.0,4058.0,
jelly,1913,6.24,1.318,3322.0,,,4544.0
jingle,1914,6.24,1.7792,,,,3813.0
legitimate,1915,6.24,1.6107,,4290.0,4725.0,
making,1916,6.24,1.1877,302.0,357.0,456.0,515.0
more,1917,6.24,0.9596,68.0,42.0,47.0,82.0
options,1918,6.24,0.9381,3201.0,3574.0,2279.0,
possible,1919,6.24,1.598,1114.0,233.0,706.0,3359.0
